TYPE,Field,MIN,MAX,MEAN,VARIANCE,STD
MODEL,u-vel.,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
MODEL,v-vel.,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
MODEL,temp,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
MODEL,salin,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
MODEL,thknss,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
MODEL,srfhgt,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
MODEL,mix_dpth,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
OBS,sst,  100000.000000,  0.000000,  0.000000,  0.000000,  0.000000
INC,u-vel.,  100000.000000,  0.000000, 0.000000,  0.000000,  0.000000
INC,v-vel.,  100000.000000,  0.000000, 0.000000,  0.000000,  0.000000
INC,temp,  100000.000000,  0.000000, 0.000000,  0.000000,  0.000000
INC,salin,  100000.000000,  0.000000, 0.000000,  0.000000,  0.000000
INC,thknss,  100000.000000,  0.000000, 0.000000,  0.000000,  0.000000
INC,srfhgt,  100000.000000,  0.000000, 0.000000,  0.000000,  0.000000
INC,mix_dpth,  100000.000000,  0.000000, 0.000000,  0.000000,  0.000000
