TYPE,Field,MIN,MAX,MEAN,VARIANCE,STD
MODEL,temp,  8.555979,  32.767227,  26.685624,  7.121523,  2.668618
MODEL,srfhgt,  -11.925625,  11.038865,  1.832406,  3.118349,  1.765885
MODEL,salin,  0.214122,  50.942802,  36.316607,  1.223518,  1.106128
MODEL,u-vel.,  -1.837987,  2.702039,  -0.046481,  0.050207,  0.224070
MODEL,v-vel.,  -1.829954,  2.163262,  0.051542,  0.043102,  0.207611
MODEL,LAT,  -90.000000,  90.000000,  -0.000000,  2706.067416,  52.019875
MODEL,LON,  -180.000000,  180.000000,  -0.000000,  10815.428571,  103.997253
OBS,sst,  10.389028,  32.599201,  26.364529,  6.500101,  2.549530
OBS,sss,  26.103756,  36.871487,  35.866367,  0.500468,  0.707437
OBS,ssh,  -0.717522,  0.753992,  0.135101,  0.034209,  0.184957
INC,temp,  -8.325460,  8.009720, 0.012570,  0.235817,  0.485610
INC,srfhgt,  -9.901745,  10.708905, -1.637230,  2.513852,  1.585513
INC,salin,  -1.385326,  1.420021, -0.001116,  0.000328,  0.018123
INC,u-vel.,  -0.071864,  0.068077, -0.001195,  0.000005,  0.002208
INC,v-vel.,  -0.055206,  0.073030, 0.000370,  0.000003,  0.001767
INC,LAT,  -90.000000,  90.000000, -0.000000,  2706.067416,  52.019875
INC,LON,  -180.000000,  180.000000, -0.000000,  10815.428571,  103.997253
